id;name;name_trans;price;small_text;big_text;user_id
350;Ericka;;7131.6;zQzcSwsL hFMtevpfJedKanSCGJOYNCMmyptwKNaCGgQFCuPxraLUZuarhlfmrmiWmMYuiGH;QfMsyYnnhXFmhSjLakmzyKwcIzPHGPkYGAyqVdpqsqYvfSYAhjhBfOOwmQEUrAzCHXOTcGRSHxSrwkLLlWlfQgNjYbbESFOQffbFtwjzNwE;165
174;Gusella;;7515.12;LXAoIfmwoZMbvjuKVMqEgcVGxUVwAhhDrumju;LxZwMfdynDjODkOmROcIPSqAdAykvQNAGMJhzmkGOGJzCXkmgclobOuIHkvh kGKcRIZhlGNKRinGgNXXRjdBPCOUpTJfMbEeOonLWXDdaUjsphq X RSiJdMOyifEPgyG qktCyrvemgmwePehQdEGVMGrWjYCtkx;883
262;Vevay;;7860.57;DN leEKqLTiIGcVSbXEWmwGnDdibbYCBsXtLFZJClNrjkC;qIcYQwLeuavmGpxrswjVqJFkz vIxUZ sdfaoXajMUAizjiUlycutETQtMlcEWLlzFUYppYhAIoPlBoIlYOilGNpzWpsNrwxh uWyWXPfMgwgSdFAUwnQbLvGjDtSiVNyZYMoxgvkxftOnZ xbQapKs;538
651;Roslyn;;6244.64;hXP NwxjiHEfFOwkTshJEOZcvYvvRV kWluBzJQigCtWgID;XwkgnkJMjqcwDsTZSbnwHdfIpitezqpiilMqeafaMMLLKMhlbAsFpvPTspTeGbGcgtAhEukzLkGlIrQMOlvJjpECbCWYtHLmTBAtrTbEfJuR s RkDWmFgVWEdaaAhvMBVjyWlLNpHnQlHjsybwWPn;889
492;Myriam;;7991.41;eYKePZDI niqpXRfYPFiAJNGtkTiPWNGSTdixKKwbADTaFtcFJuozPUosIxpmZsHphUCJDIeGbbKVsAoXvNMAlzmTOPgxrZvu;QVywACeIlgmMoFNcdCSobDqCErpDdiJWUDryqjSNgkKUZ tNlEfqLhFuhfnWoJc ueZfbhsyeA iGNIyFySKUcmKcAfDDSofcDkYMssrCaBAwHuuvbEeuMbORACjouvrFAt  XCBCyropJiNMkXCmE EwPPgQbXEpWmtGQAVKJBMxVUukvRsJJxZARaeXMRzPe IQjBbIgyQaBLWNmHnljpTspKkFPZprMIQASITfnmhcvC veyvdFEiqzEkbfKmUzCcmem;613
848;Mignon;;7616.49;onYaMwzAgVkLLAzCWeqpvicPcPc;veQDqFlSQThTKLttePJEQCxX pmMhffijDRnmsUaYPQRIzoemPVeclBDAuhMESMbOVccczUwNbwVrgyDunPBeylnIHdFXxvZZkIHrXIYdwniGrl jybbScHkE;591
475;Lacie;;6051.15;romDSxnngAYMASQkB XuPufwuTyEgdceTYOnmAZehzuKzeQrbNykUcWUoETRmVhTrhhSj;biwgodYXMLKfprm  fuMXxegbnwgpNBkaFvIyFCENdBauirMkraqABNzwnqKEmHlGLhrvOIbFaRjl mbXzgwiSKFC ZAnVIbozYuTSraQcYGGVcIJYEA plTnNw xCPfbrODJkAAwebtJscEcDmxyVTkUwQHrMUOa ZnfJqSdlCgnwvfGflwRWcSYjVJANlEKjonbbCXfSQZRscqAYCaBWauLfGyUzaySiqFeGKuYInXRSqYMxojkxswlyMBatltmC aACYEQIkdnBYhwx cHX EawtSJpwxULONsvmBXQFvoEWqs tBZRCGv iEWeXwRBtNJAEldwmdctedIJcCRlyEvOwLesQSkuNEHxicNfiVFoOGPGNL tTozwD CVTCiJTgGsawMf wZsnwoENtmKoSCnrjOsCbsgknnOZdf qsMvIBJIqXqeAoZjmacEDIUeXsrVznIeOoavp UOkHhxKZGfFvBWQHTyyEAZjGpz;758
780;Christal;;2506;iGiGhQFzZzbHkTIbtUBEKxMLsisnmDkOKbwaLpNi yiztxsHwvqGARezlxdgIVbnsYVVAcCMAqomWHKEOSSjCJCblTjBGLeMn;kBbUYluhJgOHyjPLEmSimGJIGvUEVJwhwkCqYgFRotOjtpSO qAVTddhYIiPjpyaHnEiThqMiDnyvrkWD UhbJRcQkTYIegJe ErYYCzBZAPZKu ULdedoVPTbeLobTN IWcWtKuapaiorlTyWRZnPsdDiSHpGKbildTbCXFxsDBlxDFwPauPdVQdDBSRJrnBFVXRxbHGaaKnhpOQmJbpJPPsOzNQxbUAlCwXgzvpjHTkhtHbgVBZmMkOFEkiSk SrBpQOViCsGKgJJEIPM HLRtuCDMHQriWCbLHKy bwSCAymgvusAWmMgnodPAWRHDovPGOkTWTGBqHNbeiMSeFtSkjYiRXEQViFUgFlcIcYaTONaxzTudZWdwQhamjaJWQQyXRdsvbOgXbLeUzDucqSHuHPpxiWFicjftxbPdgFeQjcum;801
988;Lita;;9224.09;BcJNZKUnuYv;nzKOXCHbTuGYXeSdUuvOMubQIOpaLYAysSPHracbpDQBSpaYrSwvqherARNMHgqGopIaCzVOwuMfumzuOLHLiPaCRMKQAYmBesswJgewqoqtloLiCfz zfkAaTdE lJP x;444
666;Consuela;;1595.99;OWqHeduMZyEAiYFJgsVbmFy xnZfjrwNtZpaFDYNhHgJTFFQEhcFFlhotjyimBQldx;mWPgsonrvTTqwSCudmCDxnzbuoZKqCCDpyZvLV u rdTSLbefzDJVnjfMQIFnSZFTxrLsWCISLONbgABbDOWpfLQUrUVJxquQCYOXFICWSRVcAS;144
